Detected 24 cores, request 4 cores, using 4 cores
copying the ramaprob.data file from /u/fd/chri4547/bin/autodock/CCSBpckgs/ADCP/ramaprob.data to /scratch/3745582.1.multiway.q
Performing search (100 ADCP runs with 11000000 steps each) ...
0%   10   20   30   40   50   60   70   80   90   100%
|----|----|----|----|----|----|----|----|----|----|
***************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************Docking performed in 19163.70 seconds, i.e. 5 hours 19 minutes 23.700720 seconds 
finish calculating neighbors for 15217 poses with 40.5 seconds
mode |  affinity  | ref. | clust. | rmsd | energy | best |
     | (kcal/mol) | fnc  |  size  | stdv |  stdv  | run  |
-----+------------+------+--------+------+--------+------+
   1        -22.8    0.000      43      NA      NA    9988 
   2        -21.6    0.000      36      NA      NA    5779 
   3        -21.2    0.000      31      NA      NA    4173 
   4        -21.0    0.000      26      NA      NA    2073 
   5        -20.8    0.000      24      NA      NA    529 
   6        -20.5    0.000      27      NA      NA    13878 
   7        -20.5    0.000       1      NA      NA    13872 
   8        -20.2    0.000      52      NA      NA    3274 
   9        -20.2    0.000      17      NA      NA    14599 
  10        -20.2    0.000      48      NA      NA    10883 
  11        -20.0    0.000      21      NA      NA    2701 
  12        -19.9    0.000      50      NA      NA    8971 
  13        -19.9    0.000      36      NA      NA    1318 
  14        -19.8    0.000      19      NA      NA    645 
  15        -19.8    0.000      21      NA      NA    11601 
  16        -19.8    0.000      17      NA      NA    8122 
  17        -19.8    0.000      25      NA      NA    9156 
  18        -19.7    0.000       1      NA      NA    8976 
  19        -19.7    0.000       6      NA      NA    5179 
  20        -19.6    0.000      56      NA      NA    3661 
  21        -19.6    0.000      51      NA      NA    2900 
  22        -19.5    0.000      34      NA      NA    2259 
  23        -19.5    0.000      15      NA      NA    5538 
  24        -19.5    0.000      29      NA      NA    5183 
  25        -19.5    0.000      26      NA      NA    4559 
  26        -19.4    0.000      20      NA      NA    5748 
  27        -19.4    0.000      19      NA      NA    1548 
  28        -19.3    0.000       1      NA      NA    13877 
  29        -19.3    0.000      47      NA      NA    1728 
  30        -19.2    0.000      39      NA      NA    11075 
  31        -19.2    0.000       3      NA      NA    2895 
  32        -19.2    0.000      34      NA      NA    1139 
  33        -19.2    0.000      11      NA      NA    15216 
  34        -19.2    0.000      29      NA      NA    939 
  35        -19.2    0.000      45      NA      NA    5937 
  36        -19.1    0.000      28      NA      NA    8113 
  37        -19.1    0.000      41      NA      NA    14911 
  38        -19.0    0.000       1      NA      NA    5784 
  39        -19.0    0.000       1      NA      NA    15208 
  40        -19.0    0.000       1      NA      NA    648 
  41        -19.0    0.000      28      NA      NA    7719 
  42        -18.9    0.000       1      NA      NA    1725 
  43        -18.9    0.000      31      NA      NA    4975 
  44        -18.9    0.000      26      NA      NA    11583 
  45        -18.9    0.000      23      NA      NA    8286 
  46        -18.8    0.000      36      NA      NA    8471 
  47        -18.8    0.000      20      NA      NA    12091 
  48        -18.8    0.000      15      NA      NA    496 
  49        -18.8    0.000      33      NA      NA    4378 
  50        -18.8    0.000      37      NA      NA    12740 
  51        -18.8    0.000       1      NA      NA    652 
  52        -18.8    0.000       1      NA      NA    15214 
  53        -18.8    0.000      18      NA      NA    644 
  54        -18.7    0.000       1      NA      NA    3273 
  55        -18.7    0.000      23      NA      NA    7430 
  56        -18.7    0.000       2      NA      NA    2898 
  57        -18.7    0.000       5      NA      NA    1551 
  58        -18.7    0.000      19      NA      NA    3470 
  59        -18.7    0.000      10      NA      NA    7893 
  60        -18.7    0.000       1      NA      NA    11604 
  61        -18.6    0.000      14      NA      NA    8786 
  62        -18.6    0.000      12      NA      NA    6575 
  63        -18.5    0.000      43      NA      NA    3850 
  64        -18.5    0.000      50      NA      NA    11772 
  65        -18.5    0.000      17      NA      NA    4747 
  66        -18.5    0.000      30      NA      NA    10194 
  67        -18.5    0.000       3      NA      NA    14591 
  68        -18.5    0.000      14      NA      NA    1552 
  69        -18.5    0.000      38      NA      NA    13520 
  70        -18.4    0.000       2      NA      NA    2051 
  71        -18.4    0.000       1      NA      NA    5531 
  72        -18.3    0.000      38      NA      NA    12925 
  73        -18.3    0.000      39      NA      NA    9945 
  74        -18.3    0.000      25      NA      NA    12283 
  75        -18.3    0.000      24      NA      NA    11891 
  76        -18.3    0.000       1      NA      NA    15211 
  77        -18.3    0.000       2      NA      NA    8787 
  78        -18.3    0.000       1      NA      NA    5184 
  79        -18.3    0.000      12      NA      NA    6100 
  80        -18.3    0.000      25      NA      NA    147 
  81        -18.3    0.000       2      NA      NA    1142 
  82        -18.2    0.000      23      NA      NA    15059 
  83        -18.2    0.000       4      NA      NA    9162 
  84        -18.2    0.000       2      NA      NA    13849 
  85        -18.2    0.000      13      NA      NA    12081 
  86        -18.1    0.000       1      NA      NA    2708 
  87        -18.1    0.000      37      NA      NA    14718 
  88        -18.1    0.000       4      NA      NA    2048 
  89        -18.1    0.000      17      NA      NA    14570 
  90        -18.1    0.000      40      NA      NA    1918 
  91        -18.1    0.000       1      NA      NA    14594 
  92        -18.1    0.000       3      NA      NA    4179 
  93        -18.1    0.000      35      NA      NA    15215 
  94        -18.1    0.000       1      NA      NA    2899 
  95        -18.0    0.000      23      NA      NA    14420 
  96        -18.0    0.000      17      NA      NA    6286 
  97        -18.0    0.000       1      NA      NA    9996 
  98        -18.0    0.000       4      NA      NA    4380 
  99        -18.0    0.000       1      NA      NA    651 
 100        -18.0    0.000      33      NA      NA    10716 
clean up unzipped map files
