Detected 24 cores, request 4 cores, using 4 cores
copying the ramaprob.data file from /u/fd/chri4547/bin/autodock/CCSBpckgs/ADCP/ramaprob.data to /scratch/3745585.1.multiway.q
Performing search (100 ADCP runs with 11000000 steps each) ...
0%   10   20   30   40   50   60   70   80   90   100%
|----|----|----|----|----|----|----|----|----|----|
***************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************Docking performed in 22554.54 seconds, i.e. 6 hours 15 minutes 54.535333 seconds 
finish calculating neighbors for 15216 poses with 36.5 seconds
mode |  affinity  | ref. | clust. | rmsd | energy | best |
     | (kcal/mol) | fnc  |  size  | stdv |  stdv  | run  |
-----+------------+------+--------+------+--------+------+
   1        -25.6    0.000      55      NA      NA    11524 
   2        -24.0    0.000      43      NA      NA    10515 
   3        -23.9    0.000      28      NA      NA    6679 
   4        -23.8    0.000      18      NA      NA    9645 
   5        -23.8    0.000       9      NA      NA    9275 
   6        -23.6    0.000       2      NA      NA    6674 
   7        -23.5    0.000      45      NA      NA    11090 
   8        -23.4    0.000      51      NA      NA    12454 
   9        -23.3    0.000       6      NA      NA    9268 
  10        -23.2    0.000      27      NA      NA    4588 
  11        -23.0    0.000      43      NA      NA    10124 
  12        -22.9    0.000      24      NA      NA    14840 
  13        -22.8    0.000      13      NA      NA    11474 
  14        -22.8    0.000      28      NA      NA    7171 
  15        -22.8    0.000      36      NA      NA    3916 
  16        -22.7    0.000      13      NA      NA    9262 
  17        -22.7    0.000      33      NA      NA    14482 
  18        -22.7    0.000      51      NA      NA    6260 
  19        -22.6    0.000       7      NA      NA    11520 
  20        -22.5    0.000       1      NA      NA    9277 
  21        -22.3    0.000      39      NA      NA    678 
  22        -22.3    0.000      29      NA      NA    2756 
  23        -22.2    0.000      44      NA      NA    5904 
  24        -22.0    0.000      28      NA      NA    4240 
  25        -21.9    0.000       2      NA      NA    6672 
  26        -21.8    0.000      31      NA      NA    483 
  27        -21.8    0.000      56      NA      NA    9434 
  28        -21.8    0.000      26      NA      NA    7309 
  29        -21.7    0.000      25      NA      NA    13105 
  30        -21.7    0.000      21      NA      NA    9281 
  31        -21.7    0.000      20      NA      NA    6072 
  32        -21.6    0.000      79      NA      NA    1046 
  33        -21.6    0.000       1      NA      NA    14845 
  34        -21.5    0.000      16      NA      NA    4560 
  35        -21.5    0.000      20      NA      NA    4076 
  36        -21.5    0.000      27      NA      NA    12927 
  37        -21.5    0.000      28      NA      NA    7712 
  38        -21.4    0.000      20      NA      NA    1551 
  39        -21.4    0.000       1      NA      NA    7716 
  40        -21.4    0.000       8      NA      NA    9630 
  41        -21.4    0.000      21      NA      NA    10720 
  42        -21.3    0.000       6      NA      NA    10471 
  43        -21.3    0.000      32      NA      NA    6460 
  44        -21.2    0.000      20      NA      NA    3743 
  45        -21.2    0.000      16      NA      NA    2535 
  46        -21.2    0.000       7      NA      NA    6673 
  47        -21.2    0.000      21      NA      NA    327 
  48        -21.1    0.000      30      NA      NA    11671 
  49        -21.1    0.000      19      NA      NA    9889 
  50        -21.1    0.000      52      NA      NA    1244 
  51        -21.1    0.000      26      NA      NA    2360 
  52        -21.1    0.000      12      NA      NA    14306 
  53        -21.1    0.000      26      NA      NA    15204 
  54        -21.1    0.000      32      NA      NA    14645 
  55        -21.1    0.000       5      NA      NA    3567 
  56        -21.0    0.000       1      NA      NA    12451 
  57        -21.0    0.000       4      NA      NA    3111 
  58        -21.0    0.000      10      NA      NA    15025 
  59        -21.0    0.000      30      NA      NA    13430 
  60        -20.9    0.000      15      NA      NA    13929 
  61        -20.9    0.000      27      NA      NA    8249 
  62        -20.9    0.000       8      NA      NA    8613 
  63        -20.9    0.000      26      NA      NA    3563 
  64        -20.8    0.000      21      NA      NA    850 
  65        -20.8    0.000       9      NA      NA    7493 
  66        -20.7    0.000      42      NA      NA    10299 
  67        -20.7    0.000       2      NA      NA    14844 
  68        -20.7    0.000       1      NA      NA    11525 
  69        -20.7    0.000      10      NA      NA    11521 
  70        -20.7    0.000       3      NA      NA    11449 
  71        -20.6    0.000      43      NA      NA    6978 
  72        -20.6    0.000      10      NA      NA    14842 
  73        -20.6    0.000      14      NA      NA    9774 
  74        -20.6    0.000      34      NA      NA    12230 
  75        -20.6    0.000      15      NA      NA    14307 
  76        -20.6    0.000      24      NA      NA    1715 
  77        -20.6    0.000       1      NA      NA    6677 
  78        -20.5    0.000      33      NA      NA    13726 
  79        -20.5    0.000      12      NA      NA    3119 
  80        -20.4    0.000      31      NA      NA    8608 
  81        -20.4    0.000       7      NA      NA    7490 
  82        -20.4    0.000      15      NA      NA    2209 
  83        -20.3    0.000       1      NA      NA    2214 
  84        -20.3    0.000       2      NA      NA    14850 
  85        -20.3    0.000       6      NA      NA    1896 
  86        -20.3    0.000      13      NA      NA    6054 
  87        -20.2    0.000      27      NA      NA    4887 
  88        -20.2    0.000       1      NA      NA    6670 
  89        -20.2    0.000       8      NA      NA    484 
  90        -20.2    0.000      12      NA      NA    6626 
  91        -20.2    0.000      21      NA      NA    3112 
  92        -20.2    0.000      15      NA      NA    9140 
  93        -20.1    0.000      12      NA      NA    1889 
  94        -20.1    0.000       1      NA      NA    6678 
  95        -20.1    0.000      17      NA      NA    13563 
  96        -20.1    0.000       4      NA      NA    9622 
  97        -20.1    0.000       1      NA      NA    2758 
  98        -20.1    0.000       1      NA      NA    3564 
  99        -20.1    0.000      13      NA      NA    15018 
 100        -20.1    0.000      22      NA      NA    8789 
clean up unzipped map files
