Detected 24 cores, request 4 cores, using 4 cores
copying the ramaprob.data file from /u/fd/chri4547/bin/autodock/CCSBpckgs/ADCP/ramaprob.data to /scratch/3745580.1.multiway.q
Performing search (100 ADCP runs with 11000000 steps each) ...
0%   10   20   30   40   50   60   70   80   90   100%
|----|----|----|----|----|----|----|----|----|----|
***************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************Docking performed in 10089.60 seconds, i.e. 2 hours 48 minutes 09.595724 seconds 
finish calculating neighbors for 21084 poses with 81.4 seconds
mode |  affinity  | ref. | clust. | rmsd | energy | best |
     | (kcal/mol) | fnc  |  size  | stdv |  stdv  | run  |
-----+------------+------+--------+------+--------+------+
   1        -20.3    0.000      33      NA      NA    18733 
   2        -20.0    0.000     100      NA      NA    2422 
   3        -19.5    0.000      36      NA      NA    1088 
   4        -19.3    0.000      47      NA      NA    20433 
   5        -19.0    0.000      58      NA      NA    8862 
   6        -18.9    0.000      22      NA      NA    841 
   7        -18.7    0.000      51      NA      NA    2145 
   8        -18.7    0.000      15      NA      NA    10307 
   9        -18.6    0.000      44      NA      NA    18018 
  10        -18.6    0.000      32      NA      NA    3655 
  11        -18.6    0.000      41      NA      NA    4632 
  12        -18.4    0.000      27      NA      NA    10846 
  13        -18.4    0.000      33      NA      NA    5868 
  14        -18.4    0.000       2      NA      NA    10854 
  15        -18.4    0.000      34      NA      NA    6147 
  16        -18.4    0.000      25      NA      NA    19251 
  17        -18.3    0.000      32      NA      NA    7257 
  18        -18.2    0.000      19      NA      NA    10309 
  19        -18.2    0.000      24      NA      NA    11496 
  20        -18.2    0.000      45      NA      NA    1897 
  21        -18.1    0.000      17      NA      NA    12988 
  22        -18.1    0.000      29      NA      NA    9111 
  23        -18.1    0.000       1      NA      NA    12994 
  24        -18.0    0.000      30      NA      NA    18326 
  25        -18.0    0.000      27      NA      NA    10313 
  26        -18.0    0.000      30      NA      NA    15306 
  27        -17.9    0.000      37      NA      NA    6381 
  28        -17.9    0.000      25      NA      NA    11277 
  29        -17.9    0.000      48      NA      NA    19010 
  30        -17.9    0.000       2      NA      NA    18698 
  31        -17.9    0.000      34      NA      NA    17115 
  32        -17.9    0.000       1      NA      NA    1092 
  33        -17.8    0.000      19      NA      NA    18731 
  34        -17.8    0.000      38      NA      NA    10568 
  35        -17.7    0.000      11      NA      NA    429 
  36        -17.7    0.000       1      NA      NA    7252 
  37        -17.7    0.000      50      NA      NA    20887 
  38        -17.7    0.000      37      NA      NA    15799 
  39        -17.6    0.000      48      NA      NA    13258 
  40        -17.6    0.000       2      NA      NA    1899 
  41        -17.6    0.000      23      NA      NA    831 
  42        -17.5    0.000       2      NA      NA    18736 
  43        -17.5    0.000       1      NA      NA    18317 
  44        -17.5    0.000      65      NA      NA    20661 
  45        -17.5    0.000      23      NA      NA    10848 
  46        -17.4    0.000       1      NA      NA    2138 
  47        -17.3    0.000       5      NA      NA    1063 
  48        -17.3    0.000       1      NA      NA    11275 
  49        -17.3    0.000       7      NA      NA    18737 
  50        -17.3    0.000      17      NA      NA    419 
  51        -17.3    0.000      41      NA      NA    5638 
  52        -17.3    0.000       2      NA      NA    20891 
  53        -17.3    0.000       1      NA      NA    421 
  54        -17.2    0.000      31      NA      NA    4374 
  55        -17.2    0.000      17      NA      NA    16513 
  56        -17.1    0.000       7      NA      NA    832 
  57        -17.1    0.000       1      NA      NA    10315 
  58        -17.1    0.000       1      NA      NA    15803 
  59        -17.1    0.000       8      NA      NA    3122 
  60        -17.1    0.000      20      NA      NA    1334 
  61        -17.0    0.000      29      NA      NA    12991 
  62        -17.0    0.000      40      NA      NA    6145 
  63        -17.0    0.000       6      NA      NA    13467 
  64        -16.9    0.000      13      NA      NA    11250 
  65        -16.9    0.000       1      NA      NA    10571 
  66        -16.9    0.000      13      NA      NA    12544 
  67        -16.9    0.000      14      NA      NA    5109 
  68        -16.9    0.000      17      NA      NA    13718 
  69        -16.9    0.000      47      NA      NA    13471 
  70        -16.8    0.000       5      NA      NA    18296 
  71        -16.8    0.000       7      NA      NA    20423 
  72        -16.8    0.000       7      NA      NA    1058 
  73        -16.8    0.000       1      NA      NA    17111 
  74        -16.8    0.000      11      NA      NA    19871 
  75        -16.7    0.000      23      NA      NA    3124 
  76        -16.7    0.000       9      NA      NA    3626 
  77        -16.7    0.000      10      NA      NA    6627 
  78        -16.7    0.000       4      NA      NA    17273 
  79        -16.7    0.000      55      NA      NA    10010 
  80        -16.7    0.000       1      NA      NA    1900 
  81        -16.7    0.000      36      NA      NA    7035 
  82        -16.7    0.000      25      NA      NA    14626 
  83        -16.6    0.000      21      NA      NA    15035 
  84        -16.6    0.000       1      NA      NA    11489 
  85        -16.6    0.000       5      NA      NA    10851 
  86        -16.6    0.000       3      NA      NA    20889 
  87        -16.6    0.000       2      NA      NA    15800 
  88        -16.6    0.000       1      NA      NA    3130 
  89        -16.5    0.000       2      NA      NA    838 
  90        -16.5    0.000      12      NA      NA    9569 
  91        -16.5    0.000      24      NA      NA    11729 
  92        -16.5    0.000      21      NA      NA    9102 
  93        -16.5    0.000      28      NA      NA    11268 
  94        -16.5    0.000       8      NA      NA    2104 
  95        -16.5    0.000      36      NA      NA    15310 
  96        -16.5    0.000      30      NA      NA    17742 
  97        -16.4    0.000       1      NA      NA    10314 
  98        -16.4    0.000      17      NA      NA    17271 
  99        -16.4    0.000      10      NA      NA    19006 
 100        -16.4    0.000       7      NA      NA    18291 
clean up unzipped map files
