Detected 24 cores, request 4 cores, using 4 cores
copying the ramaprob.data file from /u/fd/chri4547/bin/autodock/CCSBpckgs/ADCP/ramaprob.data to /scratch/3745579.1.multiway.q
Performing search (100 ADCP runs with 11000000 steps each) ...
0%   10   20   30   40   50   60   70   80   90   100%
|----|----|----|----|----|----|----|----|----|----|
***************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************Docking performed in 16487.62 seconds, i.e. 4 hours 34 minutes 47.618696 seconds 
finish calculating neighbors for 15380 poses with 48.7 seconds
mode |  affinity  | ref. | clust. | rmsd | energy | best |
     | (kcal/mol) | fnc  |  size  | stdv |  stdv  | run  |
-----+------------+------+--------+------+--------+------+
   1        -20.3    0.000      39      NA      NA    5157 
   2        -19.7    0.000      25      NA      NA    7096 
   3        -19.3    0.000      36      NA      NA    5683 
   4        -19.0    0.000      44      NA      NA    3601 
   5        -19.0    0.000      23      NA      NA    12462 
   6        -18.8    0.000      14      NA      NA    8080 
   7        -18.6    0.000      16      NA      NA    11535 
   8        -18.6    0.000      20      NA      NA    5314 
   9        -18.5    0.000      17      NA      NA    5470 
  10        -18.5    0.000      32      NA      NA    967 
  11        -18.4    0.000       3      NA      NA    5680 
  12        -18.3    0.000       2      NA      NA    5129 
  13        -18.1    0.000       2      NA      NA    5127 
  14        -18.1    0.000      33      NA      NA    13610 
  15        -18.1    0.000      36      NA      NA    14777 
  16        -17.9    0.000       9      NA      NA    7086 
  17        -17.9    0.000       3      NA      NA    8072 
  18        -17.9    0.000      36      NA      NA    406 
  19        -17.7    0.000      29      NA      NA    2588 
  20        -17.7    0.000       8      NA      NA    8930 
  21        -17.7    0.000      14      NA      NA    8051 
  22        -17.6    0.000      29      NA      NA    2133 
  23        -17.6    0.000       5      NA      NA    5118 
  24        -17.4    0.000      18      NA      NA    8932 
  25        -17.4    0.000       3      NA      NA    7063 
  26        -17.2    0.000      42      NA      NA    1788 
  27        -17.2    0.000      48      NA      NA    3368 
  28        -17.2    0.000      10      NA      NA    5159 
  29        -17.2    0.000      23      NA      NA    4969 
  30        -17.2    0.000       1      NA      NA    8078 
  31        -17.1    0.000       2      NA      NA    8073 
  32        -17.0    0.000      49      NA      NA    4493 
  33        -17.0    0.000      25      NA      NA    5317 
  34        -17.0    0.000      60      NA      NA    3800 
  35        -16.9    0.000       1      NA      NA    8071 
  36        -16.9    0.000      27      NA      NA    9893 
  37        -16.8    0.000      14      NA      NA    15087 
  38        -16.8    0.000      14      NA      NA    9294 
  39        -16.8    0.000       5      NA      NA    5455 
  40        -16.7    0.000      24      NA      NA    12319 
  41        -16.7    0.000      37      NA      NA    586 
  42        -16.7    0.000       7      NA      NA    10075 
  43        -16.7    0.000      24      NA      NA    10436 
  44        -16.6    0.000      28      NA      NA    15084 
  45        -16.6    0.000       1      NA      NA    15086 
  46        -16.6    0.000      25      NA      NA    6371 
  47        -16.5    0.000      29      NA      NA    13756 
  48        -16.5    0.000      28      NA      NA    14343 
  49        -16.5    0.000      28      NA      NA    11373 
  50        -16.5    0.000      27      NA      NA    10077 
  51        -16.5    0.000       2      NA      NA    7095 
  52        -16.5    0.000       1      NA      NA    5452 
  53        -16.5    0.000      28      NA      NA    13266 
  54        -16.4    0.000       3      NA      NA    3196 
  55        -16.4    0.000      12      NA      NA    5163 
  56        -16.4    0.000      23      NA      NA    8418 
  57        -16.3    0.000      31      NA      NA    7234 
  58        -16.3    0.000       4      NA      NA    5473 
  59        -16.3    0.000      31      NA      NA    4140 
  60        -16.2    0.000       1      NA      NA    10076 
  61        -16.2    0.000       2      NA      NA    13274 
  62        -16.2    0.000      26      NA      NA    4627 
  63        -16.2    0.000      15      NA      NA    1147 
  64        -16.2    0.000      12      NA      NA    12617 
  65        -16.2    0.000       8      NA      NA    937 
  66        -16.2    0.000      22      NA      NA    8909 
  67        -16.2    0.000       9      NA      NA    5850 
  68        -16.2    0.000       1      NA      NA    8079 
  69        -16.1    0.000      22      NA      NA    11970 
  70        -16.1    0.000       8      NA      NA    4317 
  71        -16.1    0.000       4      NA      NA    5852 
  72        -16.1    0.000      27      NA      NA    9443 
  73        -16.1    0.000       3      NA      NA    3179 
  74        -16.0    0.000       4      NA      NA    2109 
  75        -16.0    0.000       5      NA      NA    12610 
  76        -16.0    0.000       1      NA      NA    7238 
  77        -16.0    0.000      23      NA      NA    8248 
  78        -16.0    0.000      24      NA      NA    9273 
  79        -16.0    0.000      16      NA      NA    14609 
  80        -15.9    0.000      12      NA      NA    12606 
  81        -15.9    0.000      22      NA      NA    9723 
  82        -15.9    0.000      11      NA      NA    14742 
  83        -15.9    0.000      55      NA      NA    9111 
  84        -15.9    0.000       3      NA      NA    5471 
  85        -15.9    0.000      16      NA      NA    4307 
  86        -15.8    0.000       1      NA      NA    4963 
  87        -15.8    0.000      21      NA      NA    2590 
  88        -15.8    0.000       6      NA      NA    4961 
  89        -15.8    0.000      31      NA      NA    3940 
  90        -15.8    0.000       1      NA      NA    15082 
  91        -15.7    0.000      20      NA      NA    756 
  92        -15.7    0.000      10      NA      NA    6029 
  93        -15.7    0.000       1      NA      NA    12621 
  94        -15.7    0.000       5      NA      NA    11519 
  95        -15.6    0.000      40      NA      NA    10278 
  96        -15.6    0.000       5      NA      NA    12304 
  97        -15.5    0.000       1      NA      NA    8255 
  98        -15.5    0.000       1      NA      NA    15085 
  99        -15.5    0.000      14      NA      NA    9861 
 100        -15.5    0.000      10      NA      NA    1133 
clean up unzipped map files
