Detected 24 cores, request 4 cores, using 4 cores
copying the ramaprob.data file from /u/fd/chri4547/bin/autodock/CCSBpckgs/ADCP/ramaprob.data to /scratch/3745576.1.multiway.q
Performing search (100 ADCP runs with 11000000 steps each) ...
0%   10   20   30   40   50   60   70   80   90   100%
|----|----|----|----|----|----|----|----|----|----|
***************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************Docking performed in 16405.22 seconds, i.e. 4 hours 33 minutes 25.215983 seconds 
finish calculating neighbors for 17919 poses with 57.7 seconds
mode |  affinity  | ref. | clust. | rmsd | energy | best |
     | (kcal/mol) | fnc  |  size  | stdv |  stdv  | run  |
-----+------------+------+--------+------+--------+------+
   1        -21.0    0.000      65      NA      NA    4679 
   2        -20.9    0.000      20      NA      NA    1760 
   3        -20.1    0.000      44      NA      NA    17043 
   4        -19.8    0.000      37      NA      NA    13862 
   5        -19.7    0.000      22      NA      NA    16580 
   6        -19.7    0.000      34      NA      NA    15030 
   7        -19.6    0.000      13      NA      NA    5789 
   8        -19.6    0.000      19      NA      NA    5108 
   9        -19.5    0.000       4      NA      NA    1354 
  10        -19.3    0.000      29      NA      NA    8711 
  11        -19.3    0.000      41      NA      NA    1355 
  12        -19.3    0.000      39      NA      NA    6398 
  13        -19.2    0.000      47      NA      NA    8147 
  14        -19.2    0.000      29      NA      NA    10986 
  15        -19.2    0.000      42      NA      NA    17369 
  16        -19.2    0.000      16      NA      NA    1130 
  17        -19.0    0.000      26      NA      NA    11900 
  18        -19.0    0.000      47      NA      NA    16167 
  19        -19.0    0.000      21      NA      NA    3165 
  20        -18.9    0.000       2      NA      NA    15022 
  21        -18.9    0.000      30      NA      NA    4888 
  22        -18.9    0.000      43      NA      NA    8923 
  23        -18.9    0.000      47      NA      NA    2407 
  24        -18.7    0.000      27      NA      NA    6129 
  25        -18.7    0.000      12      NA      NA    1741 
  26        -18.6    0.000      42      NA      NA    10602 
  27        -18.6    0.000       2      NA      NA    1761 
  28        -18.6    0.000       6      NA      NA    13398 
  29        -18.5    0.000      37      NA      NA    2192 
  30        -18.5    0.000      10      NA      NA    6626 
  31        -18.5    0.000       5      NA      NA    12073 
  32        -18.5    0.000      54      NA      NA    12068 
  33        -18.4    0.000      38      NA      NA    7445 
  34        -18.4    0.000       3      NA      NA    12448 
  35        -18.4    0.000      12      NA      NA    2184 
  36        -18.4    0.000      27      NA      NA    8454 
  37        -18.3    0.000      29      NA      NA    12435 
  38        -18.3    0.000       5      NA      NA    10990 
  39        -18.3    0.000      49      NA      NA    9841 
  40        -18.3    0.000      46      NA      NA    6968 
  41        -18.3    0.000      31      NA      NA    10777 
  42        -18.3    0.000       1      NA      NA    1766 
  43        -18.3    0.000      10      NA      NA    13390 
  44        -18.2    0.000       3      NA      NA    10770 
  45        -18.2    0.000      17      NA      NA    11898 
  46        -18.2    0.000       2      NA      NA    8720 
  47        -18.1    0.000      22      NA      NA    17918 
  48        -18.0    0.000      25      NA      NA    1129 
  49        -18.0    0.000       1      NA      NA    5104 
  50        -17.9    0.000      33      NA      NA    16799 
  51        -17.9    0.000      12      NA      NA    6609 
  52        -17.9    0.000       2      NA      NA    2410 
  53        -17.9    0.000       7      NA      NA    5080 
  54        -17.9    0.000      18      NA      NA    16577 
  55        -17.9    0.000       1      NA      NA    17914 
  56        -17.8    0.000      31      NA      NA    10390 
  57        -17.8    0.000      39      NA      NA    1961 
  58        -17.8    0.000       1      NA      NA    7440 
  59        -17.8    0.000      13      NA      NA    13051 
  60        -17.8    0.000       1      NA      NA    11906 
  61        -17.7    0.000       9      NA      NA    16168 
  62        -17.7    0.000       5      NA      NA    2411 
  63        -17.7    0.000      12      NA      NA    13642 
  64        -17.7    0.000       3      NA      NA    5077 
  65        -17.7    0.000      40      NA      NA    1567 
  66        -17.7    0.000       1      NA      NA    2183 
  67        -17.6    0.000       1      NA      NA    10994 
  68        -17.6    0.000       1      NA      NA    1357 
  69        -17.6    0.000      15      NA      NA    11495 
  70        -17.6    0.000      13      NA      NA    14991 
  71        -17.6    0.000      55      NA      NA    14798 
  72        -17.5    0.000      15      NA      NA    3158 
  73        -17.5    0.000      18      NA      NA    8714 
  74        -17.5    0.000       1      NA      NA    16798 
  75        -17.5    0.000      18      NA      NA    5767 
  76        -17.5    0.000       3      NA      NA    7147 
  77        -17.5    0.000      68      NA      NA    15206 
  78        -17.4    0.000      34      NA      NA    3667 
  79        -17.4    0.000       4      NA      NA    7967 
  80        -17.4    0.000       1      NA      NA    13407 
  81        -17.4    0.000      10      NA      NA    11160 
  82        -17.4    0.000      19      NA      NA    15919 
  83        -17.4    0.000      16      NA      NA    17593 
  84        -17.3    0.000      31      NA      NA    10225 
  85        -17.3    0.000       1      NA      NA    1953 
  86        -17.3    0.000       2      NA      NA    10952 
  87        -17.3    0.000      42      NA      NA    14578 
  88        -17.3    0.000       2      NA      NA    13399 
  89        -17.3    0.000      17      NA      NA    5629 
  90        -17.3    0.000       1      NA      NA    10996 
  91        -17.2    0.000       1      NA      NA    12447 
  92        -17.2    0.000       1      NA      NA    6619 
  93        -17.2    0.000      45      NA      NA    4394 
  94        -17.2    0.000      17      NA      NA    179 
  95        -17.1    0.000       1      NA      NA    13406 
  96        -17.1    0.000      32      NA      NA    14073 
  97        -17.1    0.000      51      NA      NA    13203 
  98        -17.1    0.000       2      NA      NA    11501 
  99        -17.1    0.000       2      NA      NA    8930 
 100        -17.1    0.000      36      NA      NA    9641 
clean up unzipped map files
